Henry 'Babe' Curran	2
Sylvia Ratonel (album)	1
Claudio Magris	37
Samuel Elijah	8
Moshe Meron	4
Convent of Poor Clares, Woodchester	2
Amesbury Public Schools	9
FanHouse	38
Foothill Community Health Center	9
Boston Housing Authority	35
The Midnight Meat Train	27
Clews Competition Motorcycles	3
George Matanzima	22
Adrian Corker	8
Kam Nai-wai	12
Auguste Tilkens	7
Sullivan County Sheriff's Office (Tennessee)	2
Manuel José Gómez Rufino	0
Halston Sage	25
Netherlands in the Eurovision Song Contest 1988	2
Dave Grills	5
Abbott Payson Usher	7
Cabinet Manual	17
Services cricket team	63
IP Network Transformation	6
Bonțida Bánffy Castle	0
Charles Spangenberg Farmstead	5
DWEY	5
National Humanities Institute	11
I Want to Draw a Cat For You	4
Mr.Goodliving	10
James Bentley (actor)	2
1907 Wimbledon Championships	11
George Augustus Nokes	5
Bruno Mora	21
People's Unitarian Church	4
Une chanson c'est une lettre	11
Cleveland Hills	71
Kara Project	15
Ramakrishna Biswas	5
Todd Boeckman	14
Greene, Iowa	16
Klaus Reinhardt	11
Anarchists (film)	2
Method overriding	5
Jon Stephenson von Tetzchner	11
Honeymoon rhinitis	4
Australian Friesian Sahiwal	7
Kiccha Huccha	5
George Handyside	5
Dacius (bishop of Milan)	2
International Commission of Jurists	241
Dutch Caribbean Age Group Championships	23
Highland Folk Museum	27
Chador	39
Koljo Karagiosov	8
Peabo Bryson	201
Alicia O'Shea Petersen	8
Oleg Bezuglov	6
Jardins de Salagon	4
Hurricane Tomas	27
Bordeta (Barcelona Metro)	2
Magnesium perchlorate	7
2013–14 Tennessee State Tigers basketball team	4
Westport-Union Landing State Beach	5
FunGals	14
Putrajaya–Cyberjaya Expressway	6
Elisabeth Corvinus	5
Barabani	108
HMS Hilary (1931)	2
Kristian Kullamäe	0
Martin Kippenberger	86
Ajax Records	23
Commissioners Waters	11
Athletics at the 1952 Summer Olympics – Women's 100 metres	2
Red Oldham	6
1976–77 Stoke City F.C. season	2
La Jolla Playhouse	372
Bear Swamp	83
Rob Walker (journalist)	3
Keku	686
Rutland, New York	9
William Donald Patrick, Lord Patrick	4
Hechi Jinchengjiang Airport	4
Craig Kupp	4
Aldabra banded snail	5
St. George's Harbour, Bermuda	6
Appserver.io	9
Stylianos Vasileiou	4
Giovanni Benedetti	10
Edward Meredith Cope	4
Farzad Bonyadi	4
Denise Faro	4
Orangeville Crushers	10
All Alone (Frank Sinatra album)	2
Issy van Randwyck	8
Euralair	19
Red Water	48
McClellan Township, Jefferson County, Illinois	2
Ironwood Pig Sanctuary	5
Laura Joh Rowland	13
19 (number)	2
Mind Over Murder	22
Nico van der Meel	6
Loblaws	341
Non-voting stock	6
Andrew Killgore	13
1904 Italian general strike	3
New York Manumission Society	41
Beasts (Crowley novel)	2
Muriel Pénicaud	0
F. T. F. Lovejoy	2
WCIX	157
Sodium perchlorate	8
J. T. Poston	3
Free entropy	2
Athletics at the 1900 Summer Olympics – Men's 400 metres	3
Boris Weisfeiler	17
2014 NCAA Division I FBS football season	209
IESR	39
Hippolyte-Victor Collet-Descotils	4
Dick Romney	14
Abingdon Stakes	8
Russ Mahon	7
One Day in Europe	9
Fukuoka Subway 3000 series	2
Parima Mountains	9
Jim Mortimer	10
One Heart	300
2011 Asian Athletics Championships – Women's 400 metres	2
William Vincent (MP)	2
Xenotyphlops	11
Manny Pacquiao vs. Jeff Horn	12
Lynn Rogoff	6
Quantum discord	7
Maria Gordina	2
Kouign-amann	6
USS Ability (MSO-519)	2
Soyuz TMA-12	34
Chevy Chase View, Maryland	2
Haramoni	22
Tyler Hicks	12
Poleyn	22
Christine Malèvre	0
Psychotria loniceroides	5
62d Operations Group	13
Bobby Svarc	12
Fitzroy Anstruther-Gough-Calthorpe	7
Canada Steamship Lines	127
Protection of Homes, Small Businesses, and Private Property Act of 2005	4
Lowland Mounted Brigade	27
The 99p Challenge	14
Chickenpox (South Park)	2
Insect sting allergy	4
Ken Albers	3
Yanko Valkanov	4
2018 AFC Champions League knockout stage	4
Liu Jiao (prince)	2
L1-norm principal component analysis	4
Earl of Kilmorey	74
2011–12 A-League	72
Nightcap (garment)	2
TEC (gene)	3
Le Courrier Australien	8
Sean C	3577
Feer Khan Shujauddin	2
I Am a Ukrainian	7
Dick Knowles	11
Miodrag Božović	0
Steve Sullivan (boxer)	2
Kahiem Seawright	4
Pacific Grand Prix	75
Ouro Branco, Minas Gerais	2
Jean Grondin	9
United States v. Heirs of De Haro	2
Joseph Scott Fullerton	4
Úlfljótsvatn Scout Center	0
Function (biology)	2
Esther Barsel	5
Amy Bailey	12
Graham Vigrass	3
Military ranks of the Royal Cambodian Armed Forces	2
Marpessa Dawn	12
Seoul National University Hospital massacre	6
Multidrug-resistant Gram-negative bacteria	2
National Forces Alliance	25
Sibila of Fortia	7
Baby Love	318
Victoria Rooms, Bristol	2
Midway, Baxter County, Arkansas	2
Kobila (mountain)	2
Lexa Doig	30
Soviet submarine K-3 Leninsky Komsomol	2
Church of Saint Francis of Assisi (Alcamo)	2
Clarkia rostrata	7
Journal of Leukocyte Biology	8
Gerald Bull	60
Katalin Bánffy	0
Thomas White (bishop)	2
Scott Darlow	8
James Brown's Dry Goods Store	5
Beeston Beck (Norfolk)	2
Xiaomi Redmi Note 4	10
Ballencrieff, West Lothian	2
Ron Andrew	16
St Mary's Church, Lower Gravenhurst	2
Michael Savage	294
Anderson House (Danburg, Georgia)	2
Universal Interactive	104
Tsuen Wan Environmental Resource Centre	4
Vocational Training Council	30
DigiWorld by IDATE	2
The Goddamn George Liquor Program	22
Borel functional calculus	27
Séamus Conneely	0
John Garand	24
Charlie Fellows (gymnast)	4
Rostanga	57
Indian muntjac	75
Frankie Gan	5
Barbaresco	151
Narrowmouthed catshark	2
Golden Dragon (company)	2
Smerinthus cerisyi	8
E. K. Turner	5
Popstars – Just 4 Girls	9
Howard Nathan	15
Jing Abalos	4
Cebidae	28
Siege of Lyakhavichy	6
Carlton Gauld	4
Kristina Larsson	5
Joseph Jordan	76
The Pink Jungle	17
2014 All-SEC football team	4
Megan Connolly (actress)	2
Dreamtime Duck of the Never-Never	2
C. Stewart Sheppard	7
Gita Johar	4
Nulla in mundo pax sincera	4
Gąbin	0
Kugelmugel	8
Allen Feldman	8
Eudorus of Alexandria	5
EdisonLearning	41
De Bothezat helicopter	3
West Virginia Governor's Stakes	5
Vilho Harle	7
Bravo Eddy!	2
Hillesheim, Mainz-Bingen	2
Karel Doorman	136
Nonsense (film)	2
Maji Suki: Marginal Skip	2
Professional Psychology: Research and Practice	9
Team Losi JR-X2	2
Cylindrospermopsis raciborskii	18
2000 Delaware Democratic primary	2
Mutiara Damansara MRT station	3
Garry Lyon	69
Istanbul University	844
River Dwyryd	21
Athletics at the 1932 Summer Olympics	15
It's Lonely at the Bottom	10
Taymyr Autonomous Okrug	17
African popular music	60
Clastidium	36
Siege of Cuartel de la Montaña	0
Charles Spittal	13
Brenton Reef Light	9
Eocrinoidea	5
Cantus Buranus	13
Fairview, Tennessee	7
Walter Feit	11
Rab (town)	2
Bill Crews (minister)	2
Gordonville, Alabama	4
Tugan Gannet	7
Cincinnati, Richmond, & Muncie Depot	2
Comin' On Strong	24
Thomas Browne (Australian politician)	2
Virginia State Route 252	3
N. Ravishankar	4
Cellularization	3
José Julián Acosta	0
Bouznika	12
Marmorpalais	32
Etimesgut	75
A Grain of Wheat	14
Ronald Langevin	4
Francisco Garcés	0
Right of abode in Hong Kong	2
Endometrioid tumor	5
Rho Ceti	2
Guy Demel	6
VLB Berlin	7
Ayatana	38
Marko Kravos	5
Cautionary Tales (Heroes)	2
2014 Quebec Men's Provincial Curling Championship	5
Ming Chin	525
Al-Qamar	13
Chautauqua Park Historic District	8
CSS Drewry	4
Proteins (journal)	2
Anna Amalie Abert	6
Anil Deshmukh	3
Hande Baladın	5
Juana Lumerman	12
Pterelaus	28
Ognyanovo, Blagoevgrad Province	4
Dangdut	113
Heer Raanjha	20
John Fraser Noel	4
Left in the Dark	26
Alex (videotex service)	2
Southern College of Optometry	24
X-Dream	24
Castilleja campestris	5
Elisa (company)	2
Portal A Interactive	10
KROO	10
Nevil Story Maskelyne	10
The Tuskegee Airmen	73
Brett Steven	38
Masonic Temple and Lodge (Alameda, California)	2
Gerolamo Cardano	93
Lucas Dias	4
Peter Blauner	7
CMU Connector	6
OECD Guidelines for the Testing of Chemicals	13
United States of Tara	112
Mervue United A.F.C.	4
Mount Hercules	7
The Colored American Magazine	6
Noah Virgin	2
Saxon Mining Office	9
Campus carbon neutrality	3
Hapa	1147
Bill Hightower	6
Lycée Claudel station	0
Bhaiband	31
Paladino Gondola	4
World Productions	263
Mirai no Museum	19
Gianni Danzi	7
Heteropodatoxin	9
Dovray Township, Murray County, Minnesota	2
Vicki Goldberg	18
Douglas Hickox	54
Pomona Plateau	4
Fraunces Tavern	101
Bromley Mountain	17
Andrew Hernandez (footballer)	2
Pazin Castle	9
Università Popolare di Milano	0
Kipu Falls	8
James Davison	72
Paul Wegener (Gauleiter)	2
Waimakariri (New Zealand electorate)	2
2011 State of the Union Address	20
Expired	63
Gewiss–Ballan	7
Teichus	6
Warden, Free State	2
Gene Siskel	787
Marcellus Pedrick House	4
Simon Hogan	8
John Doe (whistleblower)	2
Graham Lintott	4
Choi Min-jeong	10
Adam Ahmed	9
Hizaki	72
Most Likely to Murder	6
Jennifer Finnigan	38
George Tutuska	15
Estonian Foreign Intelligence Service	9
Maternity den	3
Steve Wills	4
Nightwalker: The Midnight Detective	3
Muhammad Gaddafi	9
Rachel Wilding	4
Gondwana-1	4
Peking Man	163
William B. Steele	3
Ukel Oyaghiri	5
Sooni Taraporevala	26
Dhamma Dewi of Toungoo	2
Succinea costaricana	8
Indefinite leave to remain	9
Grant Richards	80
Clara Maass Medical Center	10
Matti Ahde	3
Triggiano	14
Filter (signal processing)	2
No Shade in the Shadow of the Cross	8
Animal welfare in Egypt	2
Social physics	6
DeVault-Massengill House	5
Shannon Curtis	4
Dr. Buzzard's Original Savannah Band	23
Klar Tale (newspaper)	2
Tom Udall	86
GFER Syndrome	4
Pedal Pusher	13
Malta Aviation Museum	13
Jill Sterkel	13
Kerrier District (album)	2
Kingston Black	12
Difluorocarbene	5
Donald Howarth	13
Inverness Corona	6
Rudolf Rocker	123
Cashibo (mission)	2
Bethania railway station	5
Sumner, Missouri	5
Pakhoke Mehmaran	4
Janet Achurch	14
Rajkot Bus Rapid Transit System	2
Blake Dunlop	4
August 2 (film)	2
Featuring...Eazy-E	6
Hur svårt kan det va?	0
En Vivo en Buenos Aires	5
Arquímedes Reyes	0
Cube shops in Hong Kong	2
Alexander–Withrow House	4
Mausoleum of the First Qin Emperor	19
EXposed	2
Solo Sunny	21
Battle of the Brians	14
Wheatley Windmill, Wheatley, Oxfordshire	2
Fastbrick Robotics	11
2007–08 Olympique Lyonnais season	2
Aloba Arch	7
Aldrich Bay Park	7
CSNK2B	6
Karen Alexander (environmentalist)	2
Southminster	79
Emmanuel Tjeknavorian	4
Brice Owona	4
August Schynse	4
Helen Honig Meyer	5
Eastern Consolidated	10
The Foundling Boy	7
Manja Croiset	5
Meloholic	5
2018 Michigan gubernatorial election	5
Zuhairi Misrawi	4
Antoine Hey	12
Connie Kemmerer	6
Avner Shaki	6
Fatality Assessment and Control Evaluation	10
Enrique Iglesias and Pitbull Live	5
Batman: Broken City	4
Dennis Courtney	10
Eutheria	80
Tuckerman High School	7
Gospel According to the Mark of Silver	4
Gweru District	11
Kanhiyalal Prabhakar Mishra	4
Ahmed Abdisalam Adan	9
Open Tree of Life	7
KMZN	12
2018–19 Odense Boldklub season	4
Constance Cox (interpreter)	2
Mohammad Rashid Khilji	4
Dick Bertel	18
Media in Ottawa–Gatineau	2
Polaroid Originals	28
John Eugene	66
Poetry Ireland	110
River Teifi	145
Goldsboro, Maryland	5
Skokomish Indian Tribe	12
Edmunds Act	77
O'Donoghue	1723
Incremental decision tree	4
Marion Edwards Park	11
Poplar, Wisconsin	6
Kevin Hooper	9
John Profumo	74
Angela Lonsdale	12
Bury Rural District	7
Chaffee (crater)	2
Alone No More	26
Roberto Campa	12
WWRM	21
Bicategory	2
Gaius Ateius Capito (tribune)	2
2010 Atlantic hurricane season	35
Sidnei (footballer, born 1989)	2
Giuseppe Turchi (1840-1895)	2
Actin remodeling of neurons	1
Compsoctena scriba	4
Walter Anderson Museum of Art	20
John Eklund	5
Gennadiy Shatkov	6
Sarah Maclaine	7
Connected Earth	19
Centre Street station (Calgary)	2
Hazard Park	15
Louise Adélaïde d'Orléans	0
Chauncy School	12
Nico Minardos	28
Karl Dyall	5
Cannon Coaster	6
David Quinn (columnist)	2
Patriarch Evtimiy Boulevard	6
Rob Neyer	75
Frankfurt Airport regional station	9
Glynn R. Donaho	12
Malaika Arora	95
Congressional Science Technology, Engineering and Math (STEM) Academic Competition	4
William P. Dunbar	2
John I. Beggs	3
Donemana	34
2014 Australian Individual Speedway Championship	1
Te Kauhanganui	15
Guatraché	0
Old Government Cottages Group, Bathurst	2
Narol, Poland	2
Research into centenarians	2
Ittoqqortoormiit Heliport	7
Iberian-gauge railways	4
The Wrecking Crew (book)	2
Virtual Sky	7
Cartier's Superfoods	7
Howard Hale Long	2
Ehsan Masood	7
David H. D. Warren	9
Robert Altenkirch	6
Banyuwangi Regency	35
Hélène Harbec	0
Marty Huff	8
Wang Zhao	157
Strategic Hamlet Program	72
Bear Republic Brewing Company	4
Michael Lira (racing driver)	2
Sir John Coryton, 4th Baronet	4
Stonington Harbor Light	9
Alexander Olshanetsky	9
Ahmedabad Education Society	8
Alworths	22
Washington Heights, Chicago	4
Charles MacGregor	19
Surrey Institute of Art & Design, University College	10
El Charrito	7
JoAnn Watson	10
Apache Forrest	6
The Viletones	26
Francis Luscombe	21
The Ask and the Answer	12
In Control, Volume 1	6
Hacker Radio Ltd	5
The Need for Roots	12
Lake Minneola High School	8
Arts and Humanities Research Council	204
Dinghu Mountain	15
Doris Fuller	4
Chikara Grand Championship	33
Fun discography	3
Jeremy Zuttah	4
Live at El Morro, Puerto Rico	15
Teachings of Ellen G. White	2
Lakina River	10
Christian Damiano	6
Iranians in France	6
Jaguar (1967 film)	2
No. 6 Squadron RAAF	7
Now Is the Time	87
Christian Keller (footballer)	2
Morou Ouattara	5
David James Duncan	15
Clunk Click Every Trip	8
Magheracloone Mitchell's GAC	2
Lucile Quarry Mann	4
Paravai Muniyamma	12
Turkana people	51
Florilegium (journal)	2
Mike Landers	4
Benzenesulfonyl chloride	5
History of Burkina Faso	2
Michael P. Riccards	6
Lilian Harrison	10
Eoin O'Keeffe	4
Peter Lumsden (racing driver)	2
Mike Reed (musician)	3
Kalloorkkad	5
Kazimierz Prószyński	0
Emil Gross	19
Deflected Jets	6
Hellgrammite (comics)	2
Coco (folklore)	2
American Council of Engineering Companies	47
Phoring	27
Prindle Volcano	11
Dejan Parezanović	0
Judgment debtor	2
Now It's Overhead	28
Extra Foods	25
Treaties of the European Union	42
Pleasant Valley Community School District	11
Bryce Harper	180
National Mathematics Talent Contest	7
1379 Lomonosowa	5
History of the Portsmouth Spartans	2
Scott Kelly (politician)	2
Naomi Matanitobua	5
Prince (Prince of Persia)	2
Alibi (1931 film)	2
Archduchy of Austria	140
Milo Anstadt	4
Karam Rajpal	6
Gaudensi Allar	9
Larue Wilson	5
Surf kayaking	8
S.S.S. Lotus	2
Royal charters applying to Cornwall	2
North Fork Owyhee Wilderness	7
Laura Toogood	3
Gongbi	19
Orna Berry	6
Aleksandr Belenov	2
Jesse K. Dubois	3
Nikola Gligorov	9
Roman mausoleum of Córdoba	0
The Order (white supremacist group)	3
Bank of Albania	88
Anton Mosimann	19
Law enforcement in Moldova	4
Bursins	28
Above Suspicion (1943 film)	2
Murder of Sherry Ann Duncan	2
NGC 1350	6
USS Jefferson City (SSN-759)	2
Trubschachen	28
Chyeranovskii BICh-20	2
Central diabetes insipidus	4
Norman Harvey	14
Yasumasa Nishino	2
Katari Veera Surasundarangi	16
Hinduism in Japan	2
Prashanth Neel	10
Khairulhin Khalid	5
Gary Darling	7
Garden design	48
Staffan Tapper	7
Akira Kikuchi	8
James Hawes (author)	2
Mark Egan	57
The X-Filez, Vol. 3	4
1924–25 Montreal Canadiens season	4
La Masquerade Infernale	11
Shirley MacLaine	604
Kristen Babb-Sprague	4
Novi Stars	7
RAF Chapel	10
Lalgarh, Rajasthan	2
Evolution (1971 film)	2
Filmfare Marathi Awards	10
Donald Moffett	8
USS LST-932	2
Orotate phosphoribosyltransferase	5
Being as an Ocean	26
CoSy (computer conferencing system)	2
1897–98 Small Heath F.C. season	2
Jamaican fig-eating bat	10
The Engines of God	7
L'Albenc	9
Yearbook of the Association of Pacific Coast Geographers	8
Eddie Lampert	9
Isaac Joseph	26
Eudaemon (mythology)	2
Rhys Edwards	22
Brunhilde Baßler	3
1999 IAAF World Cross Country Championships	60
Harvey C. Couch School	5
Carlos Cerutti	5
Prerna Kohli	4
James Wilmot	31
NFPA 704	21
Lilian Bennett	3
Pinkish Black	9
2015–16 Southern Illinois Salukis men's basketball team	5
Switzerland in the Eurovision Song Contest 2005	3
Gültekin Kaan	0
The Magic Door	29
Chestnut Ridge Park	15
Indiana State Road 331	2
Florencio Amarilla	7
Shajapur	130
HMAS Upolu	2
Elfar Freyr Helgason	6
Land Rover	3032
Annalaura di Luggo	6
Mudiraju	5
Iain Murray (sailor)	2
Princess Maria Annunciata of Bourbon-Two Sicilies	9
Fine Tuning	21
General Order No. 28	11
Arthur Barton (bishop)	2
Dororo	133
Spring Garden School No. 1	5
Château de l'Île	0
The Breadwinner (film)	2
Tenth Street Stadium	7
2014 World Junior Championships in Athletics – Women's 4 × 100 metres relay	2
Bhor Saidan	27
2008 end-of-year rugby union internationals	3
Susan Ridge	5
Memel Agricultural Party	14
Storming of Kempton Park World Trade Centre	2
NuA4 histone acetyltransferase complex	4
Modern archaeology	26
ArrayFire	7
Storebrand	128
Dependent Dirichlet process	2
Tarentola gigas	10
Mathieu Fonteyn	6
George Parr (cricketer)	2
Charles Wordsworth	35
No Smoking in Sarajevo	4
Eddie Brill	17
Farnace (opera)	2
Zygmunt Marek	3
Seyed Amir Parvin Hosseini	4
Charles McCabe	20
Polish Association of Free Thought	7
Trompeta china	3
St Andrew's Square, Glasgow	4
Regular conditional probability	3
Theban Treasury (Delphi)	2
Jamestown Settlement	57
Lunar orbit	51
Scott Gibbs	23
Cascade Theatre	8
SCH (rapper)	2
Igreja dos Anjos	4
Tactical formation	3
Peter Wood (musician)	2
Dinosapien	11
Michael Kmit	13
Constriction of video	2
Rebecca Zwick	4
Vichitra Bandham	6
Vaishnavi (Tamil actress)	2
Marine Wing Communications Squadron 18	5
William C. Grimes	7
Noel Reynolds (priest)	2
Dai Koyamada	14
Prakash Jiwa	9
John P. Yount	6
Webcast	173
Halltown, Missouri	4
Malavath Purna	7
George Caddy	5
Aapadbandhavudu	10
The Shining (miniseries)	2
Scotts Bluff National Monument	17
Sundown (1941 film)	2
Charles Divine	4
Long Clawson	26
Alfred J. Billes	4
Megatherium Club	15
Hell in a Cell (2010)	4
Pterin	75
Johan Georg Forchhammer	19
Eric Miller (record producer)	2
The Blacksmith's Shop	10
University Heights, Indianapolis	2
Spencer Carpenter	2
Sebastian Inlet State Park	9
BOC Kenya Limited	6
Labeo porcellus	4
Adalard of Corbie	10
Queen Elizabeth II Challenge Cup Stakes	21
Biryawaza	25
Castelvecchio Subequo	7
Dhrabavad	11
Tinus Linee	4
McKay Coppins	12
Bayt Tima	21
William Henry, Prince of Nassau-Usingen	2
Askøy	293
Rochelle Township High School	14
Rhodo	3991
Arthur Blacklock	5
Peter Skene Ogden	134
Video (song)	2
Sassafrass, Cypress & Indigo	8
Gere Sport	7
Joe Anglin	7
Gurudas Dasgupta	16
Charlie Cawood	9
Evan Davies (educationalist)	2
Holy Trinity Roman Catholic Church (Chicago)	2
Constance Adams	11
The Terror Live	10
Fearless Tiger	8
Martin Cooper (rugby union)	2
National Electric Vehicle Sweden	22
Vanda wightii	10
WTLA	16
Roelof Klein	9
Holy Rosary High School (New Orleans)	2
Ra Ra Riot	96
Magampura Mahinda Rajapaksa Port	14
Whitestart	4
Georgia State Route 142	2
Hoopoe-billed ʻakialoa	2
Heartbeat (2PM song)	2
Gerd Benneche	4
Frederick I, Duke of Brunswick-Lüneburg	0
Port Huron to Mackinac Boat Race	14
Portunus sayi	8
Peg Leg Howell	10
Ignacio Aliseda	4
Hollywood Heartbeat	6
Sarra Touibi	2
Lacus Curtius	32
Netley Heath	12
SMS Erzherzog Ferdinand Max (1865)	3
St Catherine's College, Oxford	224
Shahverdi Sultan	15
Upsilon	1513
Pashupati Shamsher Jang Bahadur Rana	11
Ward v. Rock Against Racism	9
Former Yan	401
This Is How You Lose Her	8
Body roll	5
Moti (DJ)	2
1961–62 Liverpool F.C. season	2
A Matter of Chance	6
So This Is Harris!	8
Avery Plateau	19
Instabase	17
Siddha Baba Temple	4
Satish Chandra Basumatary	5
Charlie Balducci	11
Lebanon Township Schools	7
John Sinkankas	8
Datura wrightii	10
Extension (Mac OS)	2
School of Public Policy and Management	38
Faxinal dos Guedes	9
Four-centred arch	3
Melissa Bjånesøy	0
Wooloomanata Station	4
Joris Oprins	13
Javari-Buriti Area of Relevant Ecological Interest	5
My Neighbor Totoro	129
Mark Ripple	2
Texas State Highway Loop 124	2
Olav Tuelo Johannesen	4
Vidyaben Shah	5
Lewis Elliott Chaze	4
Iowa Army Ammunition Plant	13
Episode 4 (Twin Peaks)	2
Matthew Diaz	7
Cross-examination	18
Jacob Timpano	12
Renato Caccioppoli	20
Stanisław Szmajzner	3
Jordan Smith (baseball)	2
BO Carinae	4
James IV of Majorca	5
Corumbá River	0
Silliman University College of Engineering and Design	4
Omni Aviation	14
My Other Home	7
Manoel de Barros	10
Cheyenne Haynes	4
Eastern Expedition	41
Schnee Eifel	48
Pascal Soriot	6
Gulab Kothari	4
Adèle Romany	0
All Star Pro-Wrestling	40
Crofelemer	12
Karyn Hay	10
Akhilesh Kumar Tyagi	5
The One That You Love (album)	2
Diplomatic Academy of the Ministry of Foreign Affairs of the Russian Federation	26
Donald Brittain Award	26
Being Globally Responsible Conference	4
Fight for You	121
Rural Municipality of Winchester	9
DeLoss Dodds	23
Theatre of West Pomerania	7
Line 2 (Thessaloniki Metro)	2
Lollapalooza	1316
Venezuela–Colombia Boundary Treaty of 1941	2
Daniel Chalonge	5
Manuelita (film)	2
Alcides Figueroa Bilingual School	4
Regional District of Fraser-Fort George	22
Hurricane Felix	45
Dennis Thurman	25
Ministry of Cultural Heritage and Activities (Italy)	3
Bay Shore Beach	6
Paul Ritter	56
You (Keyshia Cole song)	2
Maryland Route 155	4
Manuel Urrutia Lleó	0
Chana Schneerson	11
Miss World 1991	19
Sub-Zero (Mortal Kombat)	2
The Monsoon Bassoon	45
Ardee Community School	11
Startup studio	7
W. G. Grace's cricket career (1874 to 1875)	2
KCTS-TV	25
Cyclamen alpinum	10
Ilo Province	8
Wheelchair rugby at the 2015 Parapan American Games	2
Fate/Zero	83
Sakis Karidas	3
Heian-kyō	0
Sacred Heart Cathedral (Jinan)	2
Fiber to the telecom enclosure	4
Torleif Aasgaard	6
Lewis–Clark State College	35
Eiernockerl	12
George Right Smith	11
Donald E. Bently	10
Committee for Compounding with Delinquents	25
KiKa	51
Aban	5786
Saint-Simon Foundation	17
Arnold Leese	45
Green Hotel	62
E-rara.ch	2
Queen Ingrid's Hospital	10
Justin Timberlake videography	2
Hikes Point, Louisville	3
Pleurodontidae	12
Willow Springs International Motorsports Park	17
Zubaidah bint Ja`far	4
Bulgaria at the 2008 Summer Olympics	11
Jean-Baptiste Quéruel	0
Gary Boyle	25
Anne Anne Kindergarten stabbing	4
Super Select	27
BMW 3 Series (G20)	5
Association for Liberal Thinking	9
Sebauh	67
Gruemberger (crater)	2
Walter Spencer-Stanhope (1749–1822)	2
Codename: ICEMAN	4
Chris Lintott	34
Contemporary Christian music	478
Tseng Ming-chung	4
Pokeshaw, New Brunswick	2
Paulo Costa (footballer)	2
Police des Vins	2
Relentless (Natalie Grant album)	2
Mettmann Zentrum station	2
Nick Young (executive)	2
Don Verlin	26
Neil Larsen	25
Strike zone	2
Mount Auburn Hospital	36
.17 Remington Fireball	6
Patrik Sylvegård	0
Qubo	350
Lawrence Realization Stakes	44
Aminuis Constituency	7
Chukwudiebere Maduabum	8
Tyrker	13
Type 11 75 mm AA gun	6
Ole Budtz	5
216 Parachute Signal Squadron	9
The Templars (band)	3
Scientology and sex	4
Christian biblical canons	12
Brühl family	0
Kottayam-Malabar	7
Aosta	2299
Nathaniel Bowen	7
Nangiloc, Victoria	2
Maryknoll Fathers' School	6
Michael Caton	112
Buford Long	9
Raadvad	20
Central Warehousing Corporation	17
Willie Richardson (pastor)	1
Ghoul (miniseries)	2
Ugly (Screaming Females album)	1
Godfrey van Rhenen	5
Will Provine	5
Kōjirō Matsukata	0
Hamburg Museum of Work	3
Emei Shan liocichla	10
Kabayan (radio program)	2
Cambridge Gulf	52
Valenzuela City School of Mathematics and Science	11
Wu Yan	126
Jamie Rhys Clarke	20
Nicole Appleton	48
Integration warehouse	4
Divide the Blackened Sky	10
Tyler Michaelson	21
Bus terminus	24
Aleksis Kivi	81
Olympus Has Fallen (film series)	2
Yves Romestan	4
